city,state,year,firms,job_births,job_continuers,job_destruction,lat,lon
Bloomington,IL,1987,2262,2878,4582,6143,40.4842027,-88.9936873
Bowling Green,KY,1987,1657,1677,3266,4083,36.9903199,-86.4436018
Buffalo,NY,1987,19492,24522,42290,61857,42.8864468,-78.8783689
Canton,OH,1987,6976,8073,14277,22598,40.7989473,-81.378447
Champaign,IL,1987,3609,4308,7271,8846,39.8403147,-88.9548001
Charleston,SC,1987,7895,13041,14440,24180,32.7765656,-79.9309216
Charlotte,NC,1987,19846,32822,57361,83301,35.2270869,-80.8431267
Charlottesville,VA,1987,2966,3584,5514,5396,38.0293059,-78.4766781
Chattanooga,TN,1987,7502,10603,20582,22532,35.0456297,-85.3096801
Chicago,IL,1987,136274,206212,330780,550995,41.850033,-87.6500523
Cincinnati,OH,1987,29127,48556,82161,107859,39.1361111,-84.5030556
Columbia,SC,1987,9540,17247,19739,30511,34.0007104,-81.0348144
Columbus,GA,1987,911,794,1586,1696,32.4609764,-84.9877094
Columbus,OH,1987,21853,40728,64972,79288,39.9611755,-82.9987942
Corpus Christi,TX,1987,6748,8317,10723,24872,27.8005828,-97.396381
Dayton,OH,1987,13055,19525,31614,41083,39.7589478,-84.1916069
Decatur,AL,1987,2161,2559,3697,4485,34.6059253,-86.9833417
Denver,CO,1987,35083,63627,67391,167439,39.7391536,-104.9847034
Detroit,MI,1987,66458,105528,168646,259488,42.331427,-83.0457538
Dothan,AL,1987,2475,3469,4657,5724,31.2232313,-85.3904888
Durham,NC,1987,5830,7935,12408,22090,35.9940329,-78.898619
Eau Claire,WI,1987,2628,3392,4428,4252,44.811349,-91.4984941
El Centro,CA,1987,1565,1728,2264,3631,32.792,-115.5630514
Elkhart,IN,1987,3435,4966,11185,11067,41.6819935,-85.9766671
Elmira,NY,1987,1573,1752,3248,3510,42.0897965,-76.8077338
El Paso,TX,1987,7706,16228,15630,27275,31.7587198,-106.4869314
Erie,PA,1987,4793,6674,8679,14457,42.1292241,-80.085059
Eugene,OR,1987,6225,7613,10560,13019,44.0520691,-123.0867536
Evansville,IN,1987,6476,7648,11969,17175,37.9747644,-87.5558482
Fairbanks,AK,1987,1354,1237,1772,4139,64.8377778,-147.7163889
Fayetteville,NC,1987,3659,4580,7289,8548,35.0526641,-78.8783585
Florence,AL,1987,2369,2212,3728,5424,34.79981,-87.677251
Gainesville,FL,1987,3471,5312,6127,9005,29.6516344,-82.3248262
Great Falls,MT,1987,1840,2438,2259,3731,47.5002354,-111.3008083
Gulfport,MS,1987,3498,4475,5281,9066,30.3674198,-89.0928155
Hagerstown,MD,1987,3145,3678,5797,6438,39.6417629,-77.7199932
Harrisonburg,VA,1987,1645,1909,2685,3538,38.4495688,-78.8689155
Hartford,CT,1987,22750,30730,66440,64806,41.7637111,-72.6850932
Honolulu,HI,1987,14688,21682,36053,47080,21.3069444,-157.8583333
Houston,TX,1987,59283,116404,141122,324292,29.7628844,-95.3830615
Huntington,WV,1987,4594,4823,8570,11066,38.4192496,-82.445154
Indianapolis,IN,1987,22213,36775,58991,85125,39.7683765,-86.1580423
Iowa City,IA,1987,2131,2237,2670,4225,41.677204,-91.5162792
Jackson,MS,1987,8039,12424,15877,36135,32.2987573,-90.1848103
Jackson,TN,1987,1899,3020,3485,5113,35.6145169,-88.8139469
Jacksonville,FL,1987,16397,32131,38010,60049,30.3321838,-81.655651
Jefferson City,MO,1987,2431,2100,4262,4975,38.5767017,-92.1735164
Jonesboro,AR,1987,1831,1666,3076,3967,35.8422967,-90.704279
Kansas City,MO,1987,29532,58004,70868,114275,39.0997265,-94.5785667
